,trade_id,product_id,price,size,time,side,exchange,bid,ask
9054,590183290,ETH-USD,3462.48,0.0289,2025-01-02 16:00:22.847559+00:00,BUY,,,
9055,590183183,ETH-USD,3460.24,0.00099444,2025-01-02 16:00:06.866884+00:00,SELL,,,
9056,590183115,ETH-USD,3459.06,0.2,2025-01-02 15:59:51.718397+00:00,BUY,,,
9057,590183074,ETH-USD,3458.04,0.00072857,2025-01-02 15:59:36.604699+00:00,BUY,,,
9058,590183004,ETH-USD,3459.34,0.00157036,2025-01-02 15:59:20.861376+00:00,SELL,,,
9059,590182946,ETH-USD,3458.43,0.05782378,2025-01-02 15:59:05.938371+00:00,BUY,,,
9060,590182896,ETH-USD,3458.87,0.00019792,2025-01-02 15:58:50.342565+00:00,SELL,,,
9061,590182867,ETH-USD,3458.54,0.34639492,2025-01-02 15:58:35.976607+00:00,BUY,,,
9062,590182828,ETH-USD,3458.96,0.0403,2025-01-02 15:58:20.961895+00:00,BUY,,,
9063,590182789,ETH-USD,3458.45,0.00134478,2025-01-02 15:58:05.332922+00:00,SELL,,,
9064,590182722,ETH-USD,3458.47,0.001,2025-01-02 15:57:50.148454+00:00,SELL,,,
9065,590182682,ETH-USD,3458.5,0.00173978,2025-01-02 15:57:33.296299+00:00,SELL,,,
9066,590182622,ETH-USD,3460.29,0.0007237,2025-01-02 15:57:18.756079+00:00,BUY,,,
9067,590182562,ETH-USD,3460.44,0.00000577,2025-01-02 15:57:03.984823+00:00,SELL,,,
9068,590182521,ETH-USD,3460.63,0.00000913,2025-01-02 15:56:48.903376+00:00,BUY,,,
9069,590182460,ETH-USD,3461.86,0.02522502,2025-01-02 15:56:33.275017+00:00,SELL,,,
9070,590182414,ETH-USD,3461.11,0.001,2025-01-02 15:56:18.503255+00:00,BUY,,,
9071,590182361,ETH-USD,3461.87,0.02754053,2025-01-02 15:56:02.512750+00:00,SELL,,,
9072,590182309,ETH-USD,3461.77,0.00011807,2025-01-02 15:55:44.597178+00:00,SELL,,,
9073,590182255,ETH-USD,3459.59,0.0137347,2025-01-02 15:55:29.901338+00:00,SELL,,,
9074,2025-01-02T15:55:14.536Z-ETH/USD-3461.49-1.44,ETH-USD,3461.49,1.44,2025-01-02 15:55:14.536000+00:00,UNKNOWN_ORDER_SIDE,,,
9075,590182150,ETH-USD,3460.54,1.4448612,2025-01-02 15:54:59.509919+00:00,SELL,,,
9076,590182109,ETH-USD,3460.78,0.00000288,2025-01-02 15:54:42.909743+00:00,SELL,,,
9077,590182079,ETH-USD,3460.5,0.00529545,2025-01-02 15:54:27.804142+00:00,SELL,,,
9078,590182018,ETH-USD,3460.48,0.00729999,2025-01-02 15:54:12.911499+00:00,BUY,,,
9079,590181964,ETH-USD,3457.58,0.01449109,2025-01-02 15:53:57.901264+00:00,BUY,,,
9080,590181909,ETH-USD,3454.04,0.00054433,2025-01-02 15:53:42.787592+00:00,SELL,,,
9081,590181838,ETH-USD,3454.4,0.00461252,2025-01-02 15:53:26.907958+00:00,BUY,,,
9082,590181753,ETH-USD,3457.97,0.02433802,2025-01-02 15:53:11.533474+00:00,BUY,,,
9083,590181712,ETH-USD,3457.84,0.00297394,2025-01-02 15:52:56.162317+00:00,BUY,,,
9084,590181675,ETH-USD,3459.47,0.12445143,2025-01-02 15:52:41.360647+00:00,SELL,,,
9085,590181618,ETH-USD,3461.58,0.00233372,2025-01-02 15:52:26.106936+00:00,BUY,,,
9086,590181532,ETH-USD,3461.8,0.00020099,2025-01-02 15:52:11.107401+00:00,SELL,,,
9087,590181489,ETH-USD,3461.49,0.00057209,2025-01-02 15:51:56.752809+00:00,SELL,,,
9088,590181437,ETH-USD,3462.68,0.00672526,2025-01-02 15:51:41.730177+00:00,SELL,,,
9089,590181374,ETH-USD,3460.95,0.00281836,2025-01-02 15:51:25.992582+00:00,SELL,,,
9090,590181323,ETH-USD,3462.39,0.0025,2025-01-02 15:51:10.397436+00:00,SELL,,,
9091,590181246,ETH-USD,3461.87,0.01862634,2025-01-02 15:50:55.537720+00:00,BUY,,,
9092,590181196,ETH-USD,3462.37,0.00217351,2025-01-02 15:50:40.257458+00:00,BUY,,,
9093,590181152,ETH-USD,3462.06,0.00311658,2025-01-02 15:50:23.634264+00:00,SELL,,,
9094,590181063,ETH-USD,3463.59,0.001,2025-01-02 15:50:08.259315+00:00,BUY,,,
9095,590181017,ETH-USD,3465.26,0.00023991,2025-01-02 15:49:53.874859+00:00,BUY,,,
9096,590180955,ETH-USD,3465.18,0.0007734,2025-01-02 15:49:38.935458+00:00,BUY,,,
9097,590180885,ETH-USD,3464.65,0.001,2025-01-02 15:49:23.149935+00:00,SELL,,,
9098,590180829,ETH-USD,3463.64,0.00577327,2025-01-02 15:49:08.876010+00:00,BUY,,,
9099,590180779,ETH-USD,3464.25,0.00626109,2025-01-02 15:48:53.012733+00:00,BUY,,,
9100,590180699,ETH-USD,3463.06,0.001,2025-01-02 15:48:38.682255+00:00,SELL,,,
9101,590180661,ETH-USD,3462.24,0.05616084,2025-01-02 15:48:23.802495+00:00,SELL,,,
9102,590180601,ETH-USD,3461.01,0.00313781,2025-01-02 15:48:08.773243+00:00,BUY,,,
9103,590180519,ETH-USD,3460.14,0.21715911,2025-01-02 15:47:53.711317+00:00,SELL,,,
9104,590180496,ETH-USD,3459.57,0.01,2025-01-02 15:47:38.816666+00:00,SELL,,,
9105,590180388,ETH-USD,3458.07,0.00000461,2025-01-02 15:47:22.859318+00:00,SELL,,,
9106,590180351,ETH-USD,3456.77,0.11877,2025-01-02 15:47:07.978018+00:00,SELL,,,
9107,590180267,ETH-USD,3455.03,0.00003471,2025-01-02 15:46:52.831646+00:00,SELL,,,
9108,590180175,ETH-USD,3457.67,0.00202765,2025-01-02 15:46:37.933468+00:00,BUY,,,
9109,590180130,ETH-USD,3460.62,0.0014447,2025-01-02 15:46:20.219757+00:00,SELL,,,
9110,386678919,ETH-USD,3461.0,0.00285174,2025-01-02 15:46:05.414000+00:00,BUY,,,
9111,590180022,ETH-USD,3459.58,0.01,2025-01-02 15:45:50.986079+00:00,BUY,,,
9112,590179941,ETH-USD,3456.26,0.00079206,2025-01-02 15:45:35.522986+00:00,SELL,,,
9113,590179871,ETH-USD,3458.5,0.0031343,2025-01-02 15:45:20.294090+00:00,BUY,,,
9114,590179834,ETH-USD,3459.17,0.0011995,2025-01-02 15:45:05.779636+00:00,SELL,,,
9115,590179766,ETH-USD,3459.36,0.00672969,2025-01-02 15:44:50.952271+00:00,SELL,,,
9116,590179664,ETH-USD,3457.12,0.09828763,2025-01-02 15:44:35.411907+00:00,BUY,,,
9117,590179627,ETH-USD,3457.17,0.01,2025-01-02 15:44:18.921742+00:00,SELL,,,
9118,590179557,ETH-USD,3456.4,0.0010474,2025-01-02 15:44:03.693073+00:00,BUY,,,
9119,590179516,ETH-USD,3456.89,0.0021684,2025-01-02 15:43:48.734508+00:00,SELL,,,
9120,590179354,ETH-USD,3457.07,3.61828096,2025-01-02 15:43:33.929932+00:00,SELL,,,
9121,590179295,ETH-USD,3456.89,0.00051662,2025-01-02 15:43:18.909605+00:00,SELL,,,
9122,590179223,ETH-USD,3457.32,0.00047204,2025-01-02 15:43:02.008588+00:00,BUY,,,
9123,2025-01-02T15:42:47.899Z-ETH/USD-3457.586-0.31,ETH-USD,3457.586,0.31,2025-01-02 15:42:47.899000+00:00,UNKNOWN_ORDER_SIDE,,,
9124,590179112,ETH-USD,3456.58,0.00042533,2025-01-02 15:42:32.593717+00:00,SELL,,,
9125,590179039,ETH-USD,3454.3,0.07033208,2025-01-02 15:42:17.944962+00:00,SELL,,,
9126,590178913,ETH-USD,3454.51,0.00000846,2025-01-02 15:42:01.944401+00:00,BUY,,,
9127,590178839,ETH-USD,3454.82,0.00271302,2025-01-02 15:41:46.332098+00:00,SELL,,,
9128,590178783,ETH-USD,3459.17,0.17194904,2025-01-02 15:41:31.009191+00:00,SELL,,,
