,trade_id,product_id,price,size,time,side,bid,ask,exchange
20083,594814942,ETH-USD,3272.15,0.2,2025-01-16 15:05:28.956314+00:00,SELL,,,
20084,594814768,ETH-USD,3277.66,0.0007772,2025-01-16 15:05:13.734536+00:00,BUY,,,
20085,594814552,ETH-USD,3276.05,0.00312182,2025-01-16 15:04:58.960469+00:00,BUY,,,
20086,594814403,ETH-USD,3275.54,0.00090587,2025-01-16 15:04:43.393783+00:00,SELL,,,
20087,594814229,ETH-USD,3278.91,0.00303638,2025-01-16 15:04:28.663164+00:00,SELL,,,
20088,594814021,ETH-USD,3280.32,0.0018369,2025-01-16 15:04:13.665291+00:00,SELL,,,
20089,594813786,ETH-USD,3277.4,0.18488574,2025-01-16 15:03:58.893404+00:00,BUY,,,
20090,594813603,ETH-USD,3275.81,0.17106149,2025-01-16 15:03:43.928046+00:00,SELL,,,
20091,594813455,ETH-USD,3276.66,0.00072149,2025-01-16 15:03:28.920566+00:00,SELL,,,
20092,2025-01-16T15:03:13.728Z-ETH/USD-3277.86-0.01,ETH-USD,3277.86,0.01,2025-01-16 15:03:13.728000+00:00,UNKNOWN_ORDER_SIDE,,,
20093,594813212,ETH-USD,3278.17,0.01,2025-01-16 15:02:58.711707+00:00,BUY,,,
20094,594813100,ETH-USD,3275.93,0.00010073,2025-01-16 15:02:43.922269+00:00,BUY,,,
20095,594812940,ETH-USD,3271.9,1.30306405,2025-01-16 15:02:28.937593+00:00,SELL,,,
20096,594812775,ETH-USD,3271.22,0.00061118,2025-01-16 15:02:13.850309+00:00,BUY,,,
20097,594812570,ETH-USD,3270.24,0.1671674,2025-01-16 15:01:58.975411+00:00,BUY,,,
20098,594812360,ETH-USD,3270.65,0.00317701,2025-01-16 15:01:43.704929+00:00,BUY,,,
20099,594812160,ETH-USD,3273.39,0.00055402,2025-01-16 15:01:28.774065+00:00,SELL,,,
20100,594812032,ETH-USD,3273.82,0.00115341,2025-01-16 15:01:13.879698+00:00,BUY,,,
20101,594811888,ETH-USD,3274.46,0.001296,2025-01-16 15:00:58.986921+00:00,SELL,,,
20102,594811726,ETH-USD,3275.0,0.00112116,2025-01-16 15:00:43.732634+00:00,SELL,,,
20103,594811556,ETH-USD,3276.13,0.0260726,2025-01-16 15:00:28.912231+00:00,SELL,,,
