,trade_id,product_id,price,size,time,side,exchange,bid,ask,trades,best_bid,best_ask
7822,580427216,ETH-USD,3613.49,0.56008188,2024-12-10 19:50:09.340503+00:00,SELL,,,,,,
7823,580427130,ETH-USD,3614.54,0.00000553,2024-12-10 19:49:54.952980+00:00,SELL,,,,,,
7824,580427074,ETH-USD,3615.26,0.00027095,2024-12-10 19:49:39.451347+00:00,SELL,,,,,,
7825,580426986,ETH-USD,3614.71,0.00001323,2024-12-10 19:49:24.680911+00:00,SELL,,,,,,
7826,580426900,ETH-USD,3615.85,0.00033689,2024-12-10 19:49:09.638302+00:00,SELL,,,,,,
7827,580426849,ETH-USD,3616.4,0.00062225,2024-12-10 19:48:54.024045+00:00,SELL,,,,,,
7828,580426787,ETH-USD,3615.71,1.17074756,2024-12-10 19:48:39.421049+00:00,SELL,,,,,,
7829,580426719,ETH-USD,3617.21,0.005,2024-12-10 19:48:24.869047+00:00,SELL,,,,,,
7830,580426639,ETH-USD,3616.05,0.00062215,2024-12-10 19:48:09.848306+00:00,SELL,,,,,,
7831,580426580,ETH-USD,3613.59,0.0002682,2024-12-10 19:47:54.995220+00:00,BUY,,,,,,
7832,580426487,ETH-USD,3612.26,0.38566842,2024-12-10 19:47:39.679564+00:00,SELL,,,,,,
7833,580426401,ETH-USD,3613.57,0.00013825,2024-12-10 19:47:24.895490+00:00,SELL,,,,,,
7834,580426323,ETH-USD,3614.23,0.44,2024-12-10 19:47:09.773320+00:00,SELL,,,,,,
7835,580426257,ETH-USD,3615.49,0.0066201,2024-12-10 19:46:54.503141+00:00,SELL,,,,,,
7836,580426199,ETH-USD,3616.73,0.02881329,2024-12-10 19:46:38.172738+00:00,SELL,,,,,,
7837,580426131,ETH-USD,3617.11,0.001,2024-12-10 19:46:24.883633+00:00,SELL,,,,,,
7838,580426028,ETH-USD,3620.27,0.00037175,2024-12-10 19:46:09.961327+00:00,BUY,,,,,,
7839,580425968,ETH-USD,3621.2,0.41327597,2024-12-10 19:45:54.831253+00:00,BUY,,,,,,
7840,580425890,ETH-USD,3621.14,0.07196151,2024-12-10 19:45:39.919834+00:00,SELL,,,,,,
7841,580425825,ETH-USD,3619.63,0.13430165,2024-12-10 19:45:24.701644+00:00,SELL,,,,,,
7842,580425684,ETH-USD,3620.22,0.00132269,2024-12-10 19:45:09.616431+00:00,BUY,,,,,,
7843,580425620,ETH-USD,3623.04,0.01535948,2024-12-10 19:44:54.987731+00:00,SELL,,,,,,
7844,580425528,ETH-USD,3624.76,0.56355111,2024-12-10 19:44:39.943501+00:00,SELL,,,,,,
7845,580425401,ETH-USD,3628.55,0.00003312,2024-12-10 19:44:24.254679+00:00,SELL,,,,,,
7846,580425308,ETH-USD,3627.56,0.07167756,2024-12-10 19:44:09.831492+00:00,SELL,,,,,,
7847,580425199,ETH-USD,3629.2,0.00031258,2024-12-10 19:43:54.717334+00:00,SELL,,,,,,
7848,580425088,ETH-USD,3628.05,0.02917,2024-12-10 19:43:39.883605+00:00,SELL,,,,,,
7849,580424997,ETH-USD,3628.04,0.01085612,2024-12-10 19:43:24.998881+00:00,BUY,,,,,,
7850,580424873,ETH-USD,3627.83,0.4133763,2024-12-10 19:43:09.933729+00:00,SELL,,,,,,
7851,580424763,ETH-USD,3629.0,0.00819116,2024-12-10 19:42:54.643570+00:00,SELL,,,,,,
7852,2024-12-10T19:42:39.871Z-ETH/USD-3627.27-0.21,ETH-USD,3627.27,0.21,2024-12-10 19:42:39.871000+00:00,UNKNOWN_ORDER_SIDE,,,,,,
7853,580424439,ETH-USD,3627.36,0.21792946,2024-12-10 19:42:24.991284+00:00,SELL,,,,,,
7854,580424224,ETH-USD,3625.86,0.00642305,2024-12-10 19:42:09.538780+00:00,SELL,,,,,,
7855,580424083,ETH-USD,3623.21,5.76674,2024-12-10 19:41:54.933390+00:00,BUY,,,,,,
7856,580423994,ETH-USD,3624.38,0.27568888,2024-12-10 19:41:39.681386+00:00,BUY,,,,,,
7857,580423941,ETH-USD,3623.28,0.001367,2024-12-10 19:41:24.285664+00:00,SELL,,,,,,
7858,580423841,ETH-USD,3620.99,0.03863412,2024-12-10 19:41:09.962218+00:00,SELL,,,,,,
7859,580423664,ETH-USD,3619.79,0.0047,2024-12-10 19:40:54.951546+00:00,SELL,,,,,,
7860,580423555,ETH-USD,3619.91,0.00026808,2024-12-10 19:40:39.961189+00:00,SELL,,,,,,
7861,580423463,ETH-USD,3618.28,0.002,2024-12-10 19:40:24.858575+00:00,SELL,,,,,,
7862,580423381,ETH-USD,3618.8,0.27347311,2024-12-10 19:40:09.304621+00:00,SELL,,,,,,
7863,580423273,ETH-USD,3619.95,0.00054704,2024-12-10 19:39:54.103841+00:00,SELL,,,,,,
7864,580423206,ETH-USD,3619.5,0.00027069,2024-12-10 19:39:38.841574+00:00,SELL,,,,,,
7865,580423123,ETH-USD,3620.49,0.11047723,2024-12-10 19:39:24.626355+00:00,BUY,,,,,,
7866,580423040,ETH-USD,3620.07,0.00062211,2024-12-10 19:39:09.395804+00:00,SELL,,,,,,
7867,580422922,ETH-USD,3618.99,0.05291227,2024-12-10 19:38:54.080412+00:00,SELL,,,,,,
7868,580422842,ETH-USD,3619.93,0.00000929,2024-12-10 19:38:39.741985+00:00,BUY,,,,,,
7869,580422715,ETH-USD,3617.45,0.00705724,2024-12-10 19:38:24.938468+00:00,BUY,,,,,,
7870,580422611,ETH-USD,3618.4,0.06762616,2024-12-10 19:38:09.971490+00:00,SELL,,,,,,
7871,580422478,ETH-USD,3620.22,0.00339525,2024-12-10 19:37:54.865898+00:00,BUY,,,,,,
7872,580422371,ETH-USD,3616.77,0.15459173,2024-12-10 19:37:38.855676+00:00,SELL,,,,,,
7873,580422247,ETH-USD,3619.09,0.00022938,2024-12-10 19:37:24.967902+00:00,SELL,,,,,,
7874,580422171,ETH-USD,3617.87,0.03070668,2024-12-10 19:37:09.986680+00:00,SELL,,,,,,
7875,580422088,ETH-USD,3617.52,0.00036048,2024-12-10 19:36:54.380748+00:00,SELL,,,,,,
7876,580422001,ETH-USD,3617.28,0.0019,2024-12-10 19:36:39.870959+00:00,SELL,,,,,,
7877,580421899,ETH-USD,3617.09,0.0006221,2024-12-10 19:36:24.975467+00:00,SELL,,,,,,
7878,580421780,ETH-USD,3614.87,0.44,2024-12-10 19:36:09.722757+00:00,SELL,,,,,,
7879,580421710,ETH-USD,3613.35,0.13699426,2024-12-10 19:35:53.470161+00:00,SELL,,,,,,
7880,580421618,ETH-USD,3613.28,0.00106099,2024-12-10 19:35:39.597750+00:00,SELL,,,,,,
7881,580421535,ETH-USD,3612.49,0.12084333,2024-12-10 19:35:24.240448+00:00,SELL,,,,,,
7882,580421472,ETH-USD,3614.21,0.01342694,2024-12-10 19:35:09.738817+00:00,SELL,,,,,,
7883,580421384,ETH-USD,3615.65,0.05931935,2024-12-10 19:34:54.925032+00:00,BUY,,,,,,
7884,580421313,ETH-USD,3615.39,0.61147484,2024-12-10 19:34:39.543461+00:00,SELL,,,,,,
7885,580421221,ETH-USD,3614.7,0.00027659,2024-12-10 19:34:24.776864+00:00,SELL,,,,,,
7886,580421146,ETH-USD,3615.08,0.00090672,2024-12-10 19:34:09.659951+00:00,SELL,,,,,,
7887,580421051,ETH-USD,3616.74,0.00000818,2024-12-10 19:33:54.928686+00:00,SELL,,,,,,
7888,580420973,ETH-USD,3616.06,1.2825,2024-12-10 19:33:39.707959+00:00,BUY,,,,,,
7889,580420885,ETH-USD,3616.98,0.0035683,2024-12-10 19:33:24.855271+00:00,SELL,,,,,,
7890,580420773,ETH-USD,3616.38,0.01,2024-12-10 19:33:09.931269+00:00,BUY,,,,,,
7891,580420684,ETH-USD,3613.36,0.13580024,2024-12-10 19:32:54.509661+00:00,SELL,,,,,,
7892,580420610,ETH-USD,3613.71,0.08714144,2024-12-10 19:32:39.724874+00:00,SELL,,,,,,
7893,580420474,ETH-USD,3609.84,0.01426965,2024-12-10 19:32:24.644971+00:00,BUY,,,,,,
7894,580420391,ETH-USD,3611.51,0.07,2024-12-10 19:32:09.864867+00:00,SELL,,,,,,
7895,580420324,ETH-USD,3611.82,0.00673414,2024-12-10 19:31:54.960540+00:00,SELL,,,,,,
7896,580420210,ETH-USD,3615.21,0.36841,2024-12-10 19:31:39.956327+00:00,BUY,,,,,,
7897,580420108,ETH-USD,3617.53,0.00246579,2024-12-10 19:31:24.556756+00:00,SELL,,,,,,
7898,580420020,ETH-USD,3617.31,0.00065832,2024-12-10 19:31:09.700815+00:00,BUY,,,,,,
7899,580419920,ETH-USD,3618.89,0.00500033,2024-12-10 19:30:54.462467+00:00,SELL,,,,,,
7900,580419840,ETH-USD,3617.44,0.01366852,2024-12-10 19:30:39.722849+00:00,SELL,,,,,,
7901,580419735,ETH-USD,3620.08,0.2,2024-12-10 19:30:24.890064+00:00,BUY,,,,,,
7902,580419619,ETH-USD,3620.29,0.00026854,2024-12-10 19:30:09.743401+00:00,SELL,,,,,,
7903,580419511,ETH-USD,3621.34,0.00027062,2024-12-10 19:29:54.483106+00:00,SELL,,,,,,
7904,580419429,ETH-USD,3620.12,0.02842543,2024-12-10 19:29:39.773059+00:00,SELL,,,,,,
7905,580419311,ETH-USD,3622.84,0.28436318,2024-12-10 19:29:24.933910+00:00,SELL,,,,,,
7906,580419172,ETH-USD,3620.66,0.01,2024-12-10 19:29:09.965129+00:00,BUY,,,,,,
7907,580419051,ETH-USD,3619.57,0.0427,2024-12-10 19:28:54.938102+00:00,BUY,,,,,,
7908,580418917,ETH-USD,3620.93,0.01039319,2024-12-10 19:28:39.868273+00:00,SELL,,,,,,
7909,580418832,ETH-USD,3620.29,0.001,2024-12-10 19:28:24.904440+00:00,SELL,,,,,,
7910,580418723,ETH-USD,3619.24,6.04103436,2024-12-10 19:28:09.933356+00:00,BUY,,,,,,
7911,580418580,ETH-USD,3619.79,0.556795,2024-12-10 19:27:54.801594+00:00,BUY,,,,,,
7912,580418494,ETH-USD,3618.99,0.00506596,2024-12-10 19:27:39.521069+00:00,SELL,,,,,,
7913,580418406,ETH-USD,3616.7,0.002,2024-12-10 19:27:24.850244+00:00,SELL,,,,,,
7914,580418246,ETH-USD,3614.88,0.001,2024-12-10 19:27:09.853672+00:00,BUY,,,,,,
7915,580418149,ETH-USD,3615.91,0.00249047,2024-12-10 19:26:54.451006+00:00,SELL,,,,,,
7916,580418044,ETH-USD,3615.14,0.001,2024-12-10 19:26:39.943064+00:00,SELL,,,,,,
7917,580417929,ETH-USD,3614.73,1.38323055,2024-12-10 19:26:24.803181+00:00,SELL,,,,,,
7918,580417823,ETH-USD,3616.32,0.02043,2024-12-10 19:26:09.808780+00:00,BUY,,,,,,
7919,580417720,ETH-USD,3616.08,0.00035825,2024-12-10 19:25:54.454732+00:00,SELL,,,,,,
7920,580417655,ETH-USD,3616.6,0.00027088,2024-12-10 19:25:39.848006+00:00,SELL,,,,,,
7921,580417573,ETH-USD,3617.35,0.06161401,2024-12-10 19:25:24.909221+00:00,BUY,,,,,,
7922,580417505,ETH-USD,3616.06,0.00643723,2024-12-10 19:25:09.660910+00:00,SELL,,,,,,
7923,580417407,ETH-USD,3615.08,0.075,2024-12-10 19:24:54.830538+00:00,BUY,,,,,,
7924,580417232,ETH-USD,3618.85,0.26874409,2024-12-10 19:24:39.969576+00:00,SELL,,,,,,
7925,580417118,ETH-USD,3615.52,0.02767048,2024-12-10 19:24:24.292114+00:00,BUY,,,,,,
7926,580416996,ETH-USD,3615.85,0.01760706,2024-12-10 19:24:09.906758+00:00,SELL,,,,,,
7927,580416873,ETH-USD,3619.66,0.0003501,2024-12-10 19:23:54.720985+00:00,BUY,,,,,,
7928,580416791,ETH-USD,3620.95,0.00005521,2024-12-10 19:23:39.525956+00:00,SELL,,,,,,
7929,580416694,ETH-USD,3623.23,0.0592,2024-12-10 19:23:24.757468+00:00,SELL,,,,,,
7930,580416602,ETH-USD,3622.74,0.55762,2024-12-10 19:23:09.893573+00:00,SELL,,,,,,
7931,580416509,ETH-USD,3620.22,0.32139656,2024-12-10 19:22:54.786961+00:00,SELL,,,,,,
7932,580416372,ETH-USD,3619.34,0.001,2024-12-10 19:22:39.590664+00:00,SELL,,,,,,
7933,580416262,ETH-USD,3617.31,0.06911694,2024-12-10 19:22:24.564202+00:00,BUY,,,,,,
7934,580416175,ETH-USD,3616.69,0.00043179,2024-12-10 19:22:09.801733+00:00,BUY,,,,,,
7935,580416032,ETH-USD,3621.38,0.02738763,2024-12-10 19:21:54.902464+00:00,SELL,,,,,,
7936,580415771,ETH-USD,3616.72,0.41639036,2024-12-10 19:21:39.945140+00:00,BUY,,,,,,
7937,580415651,ETH-USD,3617.31,0.0010983,2024-12-10 19:21:24.914258+00:00,SELL,,,,,,
7938,580415533,ETH-USD,3614.95,0.08700225,2024-12-10 19:21:09.791343+00:00,SELL,,,,,,
7939,580415460,ETH-USD,3614.99,0.04,2024-12-10 19:20:54.877025+00:00,BUY,,,,,,
7940,580415296,ETH-USD,3615.81,0.00044505,2024-12-10 19:20:39.189668+00:00,SELL,,,,,,
7941,580415194,ETH-USD,3612.32,0.0147493,2024-12-10 19:20:24.867661+00:00,BUY,,,,,,
7942,580415131,ETH-USD,3609.84,0.80667505,2024-12-10 19:20:09.976886+00:00,BUY,,,,,,
7943,580414964,ETH-USD,3611.12,0.00274279,2024-12-10 19:19:53.735451+00:00,SELL,,,,,,
7944,580414868,ETH-USD,3611.05,0.15853103,2024-12-10 19:19:39.974871+00:00,SELL,,,,,,
7945,580414758,ETH-USD,3609.48,0.0217836,2024-12-10 19:19:24.797168+00:00,SELL,,,,,,
7946,580414696,ETH-USD,3608.36,0.54289646,2024-12-10 19:19:09.933480+00:00,BUY,,,,,,
7947,580414599,ETH-USD,3608.71,0.0118574,2024-12-10 19:18:54.997559+00:00,SELL,,,,,,
7948,580414530,ETH-USD,3607.62,0.0004279,2024-12-10 19:18:39.904298+00:00,BUY,,,,,,
7949,580414411,ETH-USD,3604.58,0.07906455,2024-12-10 19:18:24.152911+00:00,SELL,,,,,,
7950,580414330,ETH-USD,3604.81,0.01,2024-12-10 19:18:09.870004+00:00,BUY,,,,,,
